NCVOG_gene	ARG085	Burma_1F	CCIBt4013	CIRM-AVA-1-Amber	CIRM-AVA-1-Meiospore	CIRM-AVA-1-Orange	California_12	JEL0065	JEL0095	JEL0112	JEL0117	JEL0120	JEL0129	JEL0176	JEL0318	JEL0345	JEL0379	JEL0388	JEL0389	JEL0407	JEL0476	JEL0513	JEL0522	JEL0563	JEL0566	JEL0567	JEL0680	JEL0695	JEL0708	JEL0728	JEL0729	JEL0754	JEL0764	JEL0774	JEL0797	JEL0801	JEL0829	JEL0837	JEL0838	JEL0842	JEL0847	JEL0866	JEL0888	JEL0916	JEL0917	KLL_TL_06062013	PLAUS21	WJD170
NCVOG0301	7.4e-35 (50 hits)	5.4e-40 (56 hits)	5e-42 (47 hits)	3.5e-36 (55 hits)	1.2e-36 (54 hits)	7.4e-37 (47 hits)	4.7e-39 (72 hits)	2.8e-24 (83 hits)	6.1e-25 (53 hits)	1.9e-20 (46 hits)	8.9e-29 (72 hits)		2e-20 (51 hits)	1.8e-36 (49 hits)	1e-18 (18 hits)	7.3e-36 (49 hits)	6.2e-27 (54 hits)	2.7e-20 (38 hits)	2.3e-39 (59 hits)	1.3e-50 (66 hits)	1.6e-17 (32 hits)	3.5e-21 (65 hits)	1.1e-17 (30 hits)	1.1e-25 (53 hits)	3.1e-26 (59 hits)	3.4e-31 (58 hits)	6.7e-23 (47 hits)	6.9e-43 (124 hits)	6.6e-32 (77 hits)	2.5e-33 (79 hits)	7.1e-26 (51 hits)	5.9e-20 (53 hits)	2.4e-17 (29 hits)	8.8e-19 (31 hits)	2e-22 (32 hits)	5.2e-20 (36 hits)	1.6e-23 (55 hits)		2.5e-33 (78 hits)	5.6e-21 (34 hits)	3.1e-33 (73 hits)	3.9e-34 (77 hits)	1.2e-39 (85 hits)	6.5e-36 (22 hits)	7.6e-29 (62 hits)	1.7e-16 (25 hits)	9.2e-33 (65 hits)	4.3e-22 (29 hits)
NCVOG0302	2.5e-40 (72 hits)	4.6e-44 (68 hits)	4.2e-52 (76 hits)	6.6e-45 (58 hits)	2.3e-45 (55 hits)	1.4e-45 (47 hits)	2.3e-42 (94 hits)	2.4e-30 (126 hits)	1.7e-33 (76 hits)	2.3e-29 (54 hits)	1.2e-34 (93 hits)		2.4e-29 (58 hits)	4.2e-41 (77 hits)	1e-27 (33 hits)	1.7e-40 (67 hits)	9.7e-35 (68 hits)	1e-26 (53 hits)	2.5e-48 (71 hits)	6.2e-61 (80 hits)	9.6e-31 (44 hits)	4.6e-30 (87 hits)	7.7e-31 (43 hits)	3.7e-34 (66 hits)	1.9e-34 (73 hits)	3.2e-39 (71 hits)	2.7e-27 (64 hits)	1.8e-47 (158 hits)	3.9e-40 (87 hits)	8.5e-39 (102 hits)	4.8e-33 (67 hits)	1.3e-29 (74 hits)	1.4e-22 (49 hits)	1.2e-25 (40 hits)	3.1e-31 (58 hits)	1.7e-29 (52 hits)	1.4e-27 (68 hits)		1.1e-38 (99 hits)	9.2e-27 (58 hits)	1.1e-38 (90 hits)	1.2e-39 (96 hits)	7.2e-48 (100 hits)	3e-39 (35 hits)	1e-34 (97 hits)	2.7e-25 (43 hits)	6e-38 (84 hits)	2.6e-27 (51 hits)
NCVOG0304	5.7e-28 (137 hits)	9.2e-44 (120 hits)	8.3e-39 (181 hits)	1.4e-36 (106 hits)	5e-30 (94 hits)	1.8e-28 (89 hits)	3e-43 (154 hits)	9.2e-28 (218 hits)	3.2e-37 (127 hits)	6.8e-29 (128 hits)	3.1e-29 (121 hits)		7.1e-29 (134 hits)	8.3e-28 (133 hits)	4.4e-29 (57 hits)	2e-29 (125 hits)	2.1e-37 (113 hits)	2.8e-31 (79 hits)	1.7e-36 (115 hits)	2.1e-34 (120 hits)	1.3e-23 (75 hits)	2.8e-27 (155 hits)	1.1e-23 (81 hits)	2.4e-37 (110 hits)	1.4e-36 (112 hits)	1.1e-36 (109 hits)	1e-26 (94 hits)	3e-47 (249 hits)	9.5e-45 (147 hits)	6.8e-30 (135 hits)	4.2e-31 (138 hits)	1.3e-29 (132 hits)	5.1e-28 (71 hits)	1.3e-25 (44 hits)	8.9e-28 (112 hits)	1.6e-23 (75 hits)	2.7e-30 (101 hits)		5.4e-32 (147 hits)	5.8e-31 (82 hits)	1.1e-30 (118 hits)	1.1e-30 (127 hits)	2.5e-30 (122 hits)	2.2e-30 (63 hits)	2.6e-26 (115 hits)	1.1e-28 (59 hits)	1.6e-29 (121 hits)	5e-33 (64 hits)
NCVOG0305	1.9e-39 (102 hits)	3.3e-45 (95 hits)	1.5e-51 (199 hits)	2.3e-49 (94 hits)	9.8e-41 (63 hits)	2.8e-36 (63 hits)	8.7e-42 (123 hits)	7.4e-51 (182 hits)	1.7e-38 (98 hits)	1.7e-47 (72 hits)	9e-47 (179 hits)		1.7e-47 (83 hits)	1.3e-39 (106 hits)	1.5e-42 (40 hits)	3.3e-40 (90 hits)	3.6e-42 (94 hits)	2.8e-52 (99 hits)	1.5e-40 (78 hits)	9.2e-52 (118 hits)	4.8e-18 (53 hits)	3.9e-38 (87 hits)	1.1e-18 (57 hits)	5e-40 (76 hits)	2.6e-40 (83 hits)	3.4e-40 (75 hits)	4.4e-41 (81 hits)	1.5e-42 (187 hits)	3.8e-49 (99 hits)	3.9e-59 (123 hits)	8.2e-38 (115 hits)	8.7e-61 (134 hits)	2.5e-39 (68 hits)	1.2e-37 (107 hits)	3.8e-52 (62 hits)	4.9e-27 (77 hits)	1.8e-49 (84 hits)		4.6e-65 (105 hits)	7.2e-61 (69 hits)	2.1e-62 (96 hits)	2e-62 (102 hits)	3.2e-49 (195 hits)	9.3e-56 (59 hits)	1.5e-46 (166 hits)	2.4e-59 (63 hits)	6.1e-65 (93 hits)	5.3e-41 (67 hits)
NCVOG0307		2.8e-13 (1 hits)	3.1e-09 (2 hits)	4.7e-13 (2 hits)	9.8e-13 (1 hits)	6.4e-09 (1 hits)	7.8e-11 (1 hits)	3.4e-14 (1 hits)	2.9e-11 (1 hits)	5.6e-10 (1 hits)	3.5e-09 (1 hits)		5.8e-10 (1 hits)				1.5e-10 (1 hits)	2.8e-10 (1 hits)	1.3e-10 (1 hits)	1.3e-13 (5 hits)		9.4e-10 (3 hits)		1.9e-11 (1 hits)	1.5e-10 (1 hits)	1.6e-10 (1 hits)	1.6e-15 (1 hits)	4.7e-12 (2 hits)	4.8e-15 (4 hits)	2.7e-22 (4 hits)		1.7e-15 (18 hits)			6e-14 (1 hits)		3.1e-17 (3 hits)		3.4e-16 (3 hits)	8.1e-14 (2 hits)	5.1e-20 (4 hits)	4.9e-20 (4 hits)	2.2e-15 (3 hits)	3.3e-14 (4 hits)		1.6e-10 (4 hits)	4.6e-20 (3 hits)	
NCVOG0310			2.7e-11 (1 hits)	3.8e-45 (17 hits)	8.3e-16 (15 hits)	1.2e-15 (14 hits)												3.3e-44 (2 hits)										2.4e-26 (1 hits)				1.4e-14 (3 hits)												1.8e-17 (2 hits)		1.7e-30 (2 hits)		
NCVOG0312				9.8e-11 (7 hits)			8.5e-09 (3 hits)												7.8e-09 (3 hits)					5.5e-10 (3 hits)							1.1e-11 (3 hits)																	
NCVOG0313		6.2e-27 (2 hits)					1.5e-21 (4 hits)									3.9e-10 (2 hits)																	2.3e-15 (2 hits)											2.7e-14 (2 hits)				
NCVOG0314		6.9e-21 (3 hits)	2.5e-15 (1 hits)				2.2e-20 (3 hits)		7e-20 (1 hits)	1.8e-15 (1 hits)	2.3e-11 (3 hits)		1.9e-15 (1 hits)	3.9e-15 (1 hits)		5.8e-21 (1 hits)	2.2e-17 (1 hits)		3e-13 (1 hits)					9.4e-18 (1 hits)	3e-13 (1 hits)	4.2e-13 (1 hits)		3.4e-19 (1 hits)	6.1e-24 (2 hits)	4.9e-10 (1 hits)							6.3e-12 (1 hits)								5.4e-11 (1 hits)			1.5e-16 (2 hits)
NCVOG0316			2.2e-11 (8 hits)	1.1e-17 (12 hits)							1.1e-52 (72 hits)		4.5e-10 (3 hits)	5.4e-09 (6 hits)				1.9e-22 (22 hits)		1.2e-67 (210 hits)	7.5e-27 (7 hits)	7.2e-32 (58 hits)	5.3e-28 (7 hits)									1.3e-13 (16 hits)	2.4e-19 (20 hits)	1.1e-12 (7 hits)	3.9e-20 (23 hits)					5.9e-15 (10 hits)				6.2e-48 (16 hits)	1.6e-56 (57 hits)	1.9e-13 (4 hits)		1.5e-17 (35 hits)
NCVOG0317	5.7e-13 (6 hits)	4.8e-16 (5 hits)	1e-15 (8 hits)	5.2e-14 (14 hits)	2e-13 (1 hits)	1.2e-13 (1 hits)	3e-14 (6 hits)	6.3e-09 (4 hits)	1.5e-24 (6 hits)	4.1e-16 (2 hits)	8.1e-12 (5 hits)		4.3e-16 (3 hits)	2.7e-11 (7 hits)		8e-12 (7 hits)	1.1e-20 (9 hits)	1.8e-15 (1 hits)	8.1e-27 (10 hits)	2.8e-13 (3 hits)	5.1e-09 (1 hits)	2.1e-12 (3 hits)	4.1e-09 (1 hits)	1.1e-16 (5 hits)	1.6e-27 (10 hits)	6.4e-27 (10 hits)	5e-13 (1 hits)	2e-23 (15 hits)	2.9e-26 (8 hits)	1.5e-14 (6 hits)	2.3e-12 (5 hits)	2.2e-14 (1 hits)	5.5e-12 (1 hits)	1.1e-10 (1 hits)	1.2e-10 (2 hits)	6.6e-14 (5 hits)	2.5e-13 (1 hits)		1.2e-17 (5 hits)	2.9e-11 (2 hits)	3.2e-12 (4 hits)	3.1e-12 (4 hits)	5.9e-17 (4 hits)	5.8e-11 (1 hits)	6e-12 (5 hits)	9.3e-15 (1 hits)	1.9e-17 (6 hits)	4e-09 (1 hits)
NCVOG0318	2.5e-11 (1 hits)		5.6e-09 (2 hits)					4.7e-12 (3 hits)	9.2e-11 (1 hits)	5.8e-10 (1 hits)	5.2e-11 (2 hits)		4.2e-10 (1 hits)	5.1e-11 (1 hits)		3.5e-13 (4 hits)			1e-09 (1 hits)		2.1e-14 (1 hits)	3.9e-09 (1 hits)	1.7e-14 (1 hits)	3.2e-14 (2 hits)	1.5e-09 (1 hits)		3e-13 (1 hits)	4.9e-16 (5 hits)	4.8e-18 (4 hits)	5.5e-30 (3 hits)					2.1e-12 (3 hits)	1.4e-14 (3 hits)	1.5e-13 (3 hits)		1e-26 (4 hits)		5.3e-25 (5 hits)	5.1e-25 (5 hits)	4.2e-10 (2 hits)				2.2e-14 (3 hits)	
NCVOG0319				6.2e-53 (7 hits)												3.6e-53 (1 hits)														2.3e-11 (3 hits)	7.5e-39 (1 hits)					5e-23 (2 hits)											4.3e-12 (1 hits)	
NCVOG0320	8.1e-21 (15 hits)	5.2e-13 (2 hits)		4.2e-29 (15 hits)					6.8e-38 (2 hits)					1.3e-17 (12 hits)		1.5e-32 (12 hits)	1.1e-33 (1 hits)	9.1e-16 (1 hits)	2e-36 (1 hits)		9.6e-20 (1 hits)		7.7e-20 (1 hits)	7.6e-39 (1 hits)	4.6e-36 (1 hits)	1e-12 (1 hits)		2.4e-26 (12 hits)	4.6e-25 (1 hits)	2e-16 (1 hits)	1.1e-20 (3 hits)	3.3e-09 (1 hits)			2.2e-12 (10 hits)	7.2e-09 (1 hits)							6.6e-17 (2 hits)				2.6e-12 (1 hits)	
NCVOG0321		1.1e-69 (7 hits)				2e-24 (3 hits)	1.1e-40 (5 hits)	4.3e-33 (3 hits)	6.2e-36 (7 hits)		7.6e-23 (1 hits)			1.7e-70 (2 hits)	1.6e-26 (1 hits)	2.4e-61 (9 hits)	1.7e-61 (12 hits)	4.7e-21 (3 hits)	1.4e-16 (6 hits)		2.5e-24 (7 hits)	1.8e-24 (3 hits)	5e-20 (6 hits)	2.6e-31 (10 hits)	2.1e-16 (9 hits)	4.5e-30 (10 hits)					1.3e-18 (1 hits)	3.1e-29 (64 hits)	7.3e-24 (2 hits)	9.2e-72 (6 hits)	3.8e-51 (7 hits)					3.3e-24 (6 hits)				5.7e-77 (27 hits)	1.4e-57 (1 hits)			7.3e-64 (31 hits)
NCVOG0326		7.7e-40 (4 hits)				4.8e-13 (1 hits)	1.1e-29 (2 hits)	2.3e-21 (3 hits)	2.2e-11 (5 hits)		8.7e-13 (1 hits)			2.1e-40 (2 hits)	9.2e-11 (1 hits)	2.3e-29 (6 hits)	5.8e-26 (12 hits)	3e-13 (2 hits)	4.8e-10 (1 hits)		6.1e-21 (5 hits)	4.4e-14 (1 hits)	6.9e-21 (3 hits)	8.6e-17 (5 hits)	8.9e-16 (3 hits)	1.3e-18 (3 hits)						1.6e-20 (41 hits)	1.7e-15 (2 hits)	2.2e-39 (3 hits)	5.3e-36 (4 hits)					1.2e-14 (3 hits)				2.3e-39 (15 hits)	1.9e-30 (1 hits)			1.7e-34 (18 hits)
NCVOG0327																					4.8e-11 (3 hits)		1.9e-11 (1 hits)	4e-09 (1 hits)			3.2e-28 (2 hits)		6.5e-19 (2 hits)				1.2e-25 (6 hits)				5.2e-20 (2 hits)											1.5e-10 (5 hits)
NCVOG0329	1.2e-41 (6 hits)	9.6e-31 (10 hits)	3.8e-18 (6 hits)	5.3e-22 (6 hits)	1.5e-18 (4 hits)	9.3e-19 (3 hits)	2.7e-23 (12 hits)	1.2e-19 (4 hits)	3.3e-26 (10 hits)	4.4e-18 (1 hits)	1.3e-32 (6 hits)		4.6e-18 (4 hits)	1.1e-38 (7 hits)		3.1e-37 (3 hits)	5.9e-28 (9 hits)	1.6e-18 (3 hits)	6.3e-24 (10 hits)	1e-19 (6 hits)	8.3e-18 (4 hits)	7.4e-20 (6 hits)	6.7e-18 (6 hits)	1.8e-21 (1 hits)	1.4e-26 (7 hits)	1.4e-26 (6 hits)	4.4e-32 (4 hits)	1.5e-41 (17 hits)	8.8e-26 (7 hits)	2.7e-57 (13 hits)	6.2e-27 (9 hits)	8.3e-27 (4 hits)	1.3e-22 (6 hits)	3e-26 (4 hits)	4e-27 (5 hits)	1.1e-22 (8 hits)	2.2e-32 (4 hits)		2.4e-59 (13 hits)	1.1e-30 (6 hits)	2e-59 (12 hits)	1.2e-59 (10 hits)	3.9e-27 (5 hits)	2.1e-24 (7 hits)	2.5e-32 (6 hits)	1.3e-50 (6 hits)	1.1e-58 (11 hits)	1.6e-29 (7 hits)
NCVOG0330	5.3e-11 (8 hits)	6.5e-14 (12 hits)	2.5e-11 (8 hits)	2.8e-13 (5 hits)	1.4e-13 (5 hits)	4.4e-13 (5 hits)	1.9e-12 (16 hits)	3.5e-12 (9 hits)	3.7e-12 (5 hits)	9e-11 (5 hits)	3.2e-11 (16 hits)		9.9e-11 (5 hits)	1.7e-11 (9 hits)	8e-14 (3 hits)	5.3e-11 (7 hits)	5.4e-12 (9 hits)	8.4e-11 (4 hits)	7.3e-13 (6 hits)	2.1e-12 (27 hits)	6.3e-12 (4 hits)	1.5e-13 (6 hits)	3.4e-12 (5 hits)	9.8e-13 (8 hits)	1.4e-12 (6 hits)	7.9e-14 (6 hits)	1.5e-11 (5 hits)	2.7e-12 (26 hits)	6.7e-11 (6 hits)	2.3e-12 (12 hits)	8.6e-14 (6 hits)	2.7e-10 (4 hits)	5.6e-12 (3 hits)	1.9e-13 (15 hits)	3.4e-13 (5 hits)	7e-10 (3 hits)	2.9e-12 (7 hits)		1.2e-12 (10 hits)	3.9e-12 (11 hits)	4.4e-13 (5 hits)	4.3e-13 (6 hits)	2.8e-10 (4 hits)	1.6e-16 (5 hits)	5.5e-12 (14 hits)	1.7e-11 (6 hits)	4.3e-13 (10 hits)	7.5e-12 (2 hits)
NCVOG0331	2.1e-19 (14 hits)	4e-39 (19 hits)	5.6e-19 (4 hits)	9.3e-38 (18 hits)	3.2e-38 (18 hits)	2.2e-38 (16 hits)	2e-45 (27 hits)	1.9e-22 (18 hits)	1.7e-29 (15 hits)	1e-16 (17 hits)	1.5e-19 (17 hits)		1e-16 (17 hits)	1.5e-19 (11 hits)	1.5e-13 (11 hits)	2.4e-19 (14 hits)	1.5e-26 (10 hits)	1.3e-22 (11 hits)	1e-27 (9 hits)	4.2e-22 (14 hits)	2.2e-19 (11 hits)	2.3e-16 (14 hits)	9.9e-17 (7 hits)	1.1e-28 (12 hits)	1.1e-27 (9 hits)	5.2e-27 (12 hits)	1.8e-20 (15 hits)	3e-46 (28 hits)	1.2e-46 (17 hits)	2.3e-20 (17 hits)	2e-21 (12 hits)	1.1e-22 (13 hits)	1e-12 (6 hits)	1.9e-13 (6 hits)	2.7e-35 (13 hits)	2e-19 (9 hits)	5.4e-31 (16 hits)		1e-26 (9 hits)	1.3e-31 (10 hits)	1.1e-21 (10 hits)	1.1e-21 (13 hits)	2.6e-22 (16 hits)	5.3e-17 (9 hits)	3.5e-17 (16 hits)	9.4e-21 (11 hits)	4.3e-26 (10 hits)	8.9e-20 (9 hits)
NCVOG0332	1.2e-09 (2 hits)	6.2e-10 (1 hits)	1.7e-16 (2 hits)	2.7e-45 (28 hits)	1.4e-09 (3 hits)	8.2e-10 (3 hits)		1.1e-23 (5 hits)	7e-26 (2 hits)	3e-11 (3 hits)	6.3e-11 (1 hits)		3.1e-11 (3 hits)				3.8e-22 (2 hits)		1.2e-23 (1 hits)	4.6e-24 (2 hits)	3.4e-21 (2 hits)	1.2e-14 (1 hits)	2.7e-21 (2 hits)	4.9e-19 (1 hits)	8.1e-24 (1 hits)	1.1e-23 (1 hits)	1.8e-22 (4 hits)	5.8e-29 (4 hits)	5.5e-26 (1 hits)	6.4e-25 (1 hits)	5.5e-45 (4 hits)					8.4e-23 (2 hits)	5.7e-23 (3 hits)		5.4e-25 (1 hits)		6.9e-25 (1 hits)	6.7e-25 (1 hits)	5.1e-11 (2 hits)		4.3e-11 (1 hits)		3.5e-12 (2 hits)	5.8e-09 (6 hits)
NCVOG0333	3.1e-134 (15 hits)	4.2e-104 (7 hits)	1.1e-147 (20 hits)	9.2e-26 (4 hits)	4.8e-124 (7 hits)	2.6e-26 (5 hits)	1.3e-75 (25 hits)	1.2e-57 (13 hits)	1.5e-80 (7 hits)	2.8e-107 (18 hits)	2.1e-75 (10 hits)		4.4e-106 (17 hits)	6.3e-134 (14 hits)	9.5e-24 (10 hits)	1.4e-55 (8 hits)	9.1e-23 (1 hits)	2e-26 (5 hits)	6.2e-20 (2 hits)	3.6e-105 (22 hits)	4.1e-73 (18 hits)	9.2e-110 (13 hits)	1.9e-136 (15 hits)	6.3e-44 (5 hits)	4.8e-25 (2 hits)	3.4e-78 (8 hits)	4.9e-75 (7 hits)	2.8e-107 (20 hits)	9.6e-133 (5 hits)	6.1e-81 (12 hits)	2e-107 (12 hits)	5.2e-82 (10 hits)	6.1e-36 (8 hits)	7e-62 (13 hits)	6e-54 (8 hits)	8e-59 (11 hits)	5.3e-39 (7 hits)		1.6e-26 (7 hits)	4.7e-81 (5 hits)	4.9e-30 (7 hits)	4.8e-30 (6 hits)	1.3e-31 (4 hits)	6.8e-132 (14 hits)	2.9e-80 (13 hits)	1.2e-38 (8 hits)	9.9e-48 (7 hits)	2.4e-26 (4 hits)
NCVOG0334				2.4e-40 (6 hits)					8.6e-61 (1 hits)								4.7e-63 (2 hits)		2.6e-38 (1 hits)					5.7e-37 (1 hits)	1.7e-38 (2 hits)	6.5e-38 (1 hits)			5e-69 (2 hits)		6.5e-33 (1 hits)		1.1e-31 (1 hits)	2.9e-12 (2 hits)														2.1e-11 (1 hits)
NCVOG0335	1.8e-09 (2 hits)	6.7e-61 (2 hits)		1.2e-35 (24 hits)			5.2e-58 (4 hits)	2.1e-11 (3 hits)		3.6e-12 (3 hits)			3.4e-12 (3 hits)	6.3e-12 (3 hits)		2.5e-09 (2 hits)			1.4e-10 (2 hits)			3.3e-11 (2 hits)			8.1e-09 (2 hits)	4.3e-09 (2 hits)	2.8e-14 (2 hits)	4.3e-47 (3 hits)		4.9e-10 (2 hits)	8.7e-31 (14 hits)		3.3e-28 (2 hits)			1.7e-35 (3 hits)	1e-14 (2 hits)		6e-20 (2 hits)		4.6e-19 (2 hits)	9.5e-17 (3 hits)		4.1e-16 (1 hits)		4.6e-10 (1 hits)	8.4e-20 (2 hits)	
NCVOG0341				2.3e-17 (3 hits)																										2.6e-10 (2 hits)									4.7e-11 (2 hits)		6.1e-10 (1 hits)	5.9e-10 (1 hits)					7.5e-11 (2 hits)	
NCVOG0346																																				2.8e-12 (4 hits)			2.2e-10 (1 hits)								1.4e-09 (1 hits)	
NCVOG0349											9.5e-12 (1 hits)						3.8e-09 (1 hits)							4.1e-09 (1 hits)											4.9e-14 (9 hits)													
NCVOG0350				3.4e-46 (2 hits)				3.2e-21 (1 hits)		5.1e-32 (1 hits)	1.9e-52 (7 hits)		2.6e-58 (1 hits)						2.9e-47 (1 hits)			8.8e-42 (1 hits)			1.7e-46 (1 hits)	8.6e-32 (1 hits)					1.2e-30 (2 hits)					6.3e-37 (3 hits)									6.7e-59 (2 hits)			
NCVOG0351								6.3e-24 (2 hits)	9.2e-09 (1 hits)		4.1e-24 (2 hits)			2.2e-22 (3 hits)	4.7e-25 (1 hits)	5.8e-21 (1 hits)			1.5e-23 (1 hits)			6.8e-20 (2 hits)			1.2e-23 (1 hits)	5.9e-24 (1 hits)		1.2e-26 (2 hits)		1.7e-16 (2 hits)			4e-22 (2 hits)	8.5e-18 (1 hits)	8e-14 (1 hits)	2.2e-12 (1 hits)			1.4e-20 (1 hits)		1.8e-16 (1 hits)	2.6e-16 (1 hits)	1.4e-09 (1 hits)	1.2e-21 (3 hits)	8.4e-25 (2 hits)	2.3e-25 (1 hits)	5.9e-13 (2 hits)	8.8e-19 (1 hits)
NCVOG0352	4.4e-21 (1 hits)	3.8e-26 (1 hits)		3.2e-14 (1 hits)			1.8e-23 (1 hits)	4.5e-14 (1 hits)	1e-12 (1 hits)	2.1e-29 (1 hits)	3.5e-16 (2 hits)		2.1e-29 (1 hits)	3.4e-22 (1 hits)		1.3e-18 (1 hits)										2.6e-15 (1 hits)	5e-36 (1 hits)	5.3e-21 (1 hits)	2.7e-16 (2 hits)		7.9e-27 (1 hits)			9.3e-22 (1 hits)		3.9e-19 (1 hits)	7.2e-37 (2 hits)							8.6e-10 (2 hits)	7.6e-14 (1 hits)			
NCVOG0353																				7.7e-23 (2 hits)							2e-29 (2 hits)										1.1e-29 (3 hits)							6.3e-14 (1 hits)				1.2e-12 (1 hits)
NCVOG0360	1.6e-64 (3 hits)	7.3e-73 (3 hits)	1.6e-56 (5 hits)	3.5e-67 (10 hits)	1.2e-67 (1 hits)	1.7e-69 (1 hits)	4.8e-73 (5 hits)	1.6e-77 (5 hits)	6.6e-70 (2 hits)	1.7e-67 (4 hits)	2.2e-60 (7 hits)		6.4e-79 (6 hits)	4.8e-64 (3 hits)	1.1e-54 (1 hits)	7.6e-47 (5 hits)	7.4e-72 (1 hits)	6.3e-12 (1 hits)	5.3e-71 (1 hits)	5.5e-56 (2 hits)	7.2e-30 (2 hits)	1.7e-78 (4 hits)	5.9e-30 (2 hits)	2.7e-71 (1 hits)	5.5e-72 (1 hits)	1e-71 (1 hits)	1.4e-47 (1 hits)	2.8e-64 (7 hits)	2.1e-37 (2 hits)	3.1e-69 (5 hits)	6.5e-56 (7 hits)	8.2e-56 (2 hits)	5.4e-53 (3 hits)	6.1e-15 (2 hits)	1.5e-79 (2 hits)	8.1e-50 (2 hits)	6.6e-48 (1 hits)		8.3e-54 (2 hits)	1.8e-76 (1 hits)	5.9e-47 (3 hits)	7.1e-49 (2 hits)	3e-54 (2 hits)	3.7e-14 (1 hits)	2.3e-65 (4 hits)	1.3e-66 (2 hits)	1.4e-53 (2 hits)	1e-52 (1 hits)
NCVOG0363																																			7.9e-10 (2 hits)													
NCVOG0370		2.3e-11 (1 hits)	2.6e-28 (2 hits)	1.1e-26 (17 hits)	3.6e-12 (1 hits)	2.2e-12 (1 hits)	1.1e-20 (4 hits)	8.5e-20 (2 hits)	4e-27 (2 hits)		1.4e-36 (11 hits)			2.2e-09 (1 hits)	5.5e-14 (1 hits)	2.4e-09 (2 hits)					6.4e-12 (2 hits)		3.3e-10 (1 hits)		4.3e-25 (1 hits)	2.3e-24 (1 hits)	1.1e-10 (1 hits)	9e-34 (4 hits)	2.4e-37 (2 hits)	1.4e-33 (8 hits)	2e-35 (6 hits)	2.4e-18 (3 hits)		8.1e-13 (1 hits)	1.2e-20 (3 hits)	2.9e-25 (4 hits)			2.1e-34 (4 hits)		7.6e-35 (3 hits)	7.4e-35 (3 hits)	2.3e-30 (5 hits)	1.7e-31 (4 hits)	7.4e-29 (5 hits)		5.2e-34 (4 hits)	1.1e-10 (1 hits)
NCVOG0435	7.9e-18 (2 hits)			5.3e-41 (2 hits)				1.6e-14 (4 hits)		4.4e-16 (3 hits)	1.6e-09 (3 hits)		4.6e-16 (3 hits)	6.3e-18 (2 hits)	3.4e-35 (10 hits)	1.7e-16 (2 hits)	7.7e-27 (1 hits)	1.9e-20 (2 hits)	1.2e-30 (1 hits)					1.2e-12 (1 hits)			1.7e-18 (1 hits)	9.7e-18 (3 hits)	1.7e-13 (1 hits)	3.2e-18 (3 hits)	4.9e-29 (9 hits)	2.5e-32 (4 hits)	1.4e-34 (5 hits)	4.9e-34 (3 hits)		1.8e-16 (2 hits)	8.2e-19 (1 hits)		5.7e-15 (5 hits)		2.8e-18 (3 hits)	4.1e-18 (3 hits)	6e-19 (2 hits)		9.1e-15 (3 hits)	1.7e-16 (9 hits)	1.8e-20 (3 hits)	1.3e-29 (2 hits)
NCVOG0446								1.4e-09 (7 hits)					4.9e-11 (18 hits)					8.6e-17 (132 hits)					2.5e-10 (3 hits)						8.3e-11 (11 hits)	1.7e-10 (3 hits)						1.9e-10 (12 hits)			4.3e-09 (6 hits)	7.6e-12 (14 hits)	5.9e-09 (3 hits)			7.7e-12 (5 hits)			1.5e-12 (2 hits)	8.6e-13 (39 hits)
NCVOG0449			2.5e-37 (400 hits)					7.9e-13 (44 hits)		7.8e-13 (12 hits)			2e-19 (23 hits)		8.8e-13 (12 hits)	4.7e-09 (3 hits)		1.4e-23 (262 hits)			4.4e-23 (6 hits)	1.6e-09 (4 hits)	1.8e-14 (6 hits)					1.3e-11 (6 hits)	1.3e-17 (30 hits)	8.7e-13 (22 hits)		1.2e-10 (26 hits)	1.5e-15 (65 hits)			7.7e-16 (110 hits)			4.6e-17 (25 hits)	5.6e-15 (20 hits)	2.2e-11 (20 hits)	9.4e-12 (31 hits)	7.4e-12 (29 hits)	3.4e-12 (13 hits)			6.8e-17 (17 hits)	2.8e-20 (235 hits)
NCVOG0450	1.3e-50 (13 hits)	3.5e-192 (38 hits)	4.9e-91 (336 hits)				1.3e-127 (76 hits)	2.3e-68 (190 hits)	5.4e-132 (46 hits)	4.9e-65 (69 hits)	2.4e-85 (68 hits)	1.8e-14 (2 hits)	6.9e-113 (62 hits)	2.1e-43 (15 hits)	5.6e-136 (33 hits)	1.1e-43 (10 hits)	2.1e-119 (23 hits)	5.8e-223 (505 hits)	8.8e-206 (29 hits)	5.5e-161 (63 hits)	1.3e-124 (5 hits)	1.5e-21 (33 hits)	1e-68 (27 hits)	3.6e-193 (19 hits)	1.1e-195 (26 hits)	1.7e-256 (25 hits)	1.3e-12 (6 hits)	6.7e-50 (106 hits)	2.2e-74 (32 hits)	3.1e-30 (57 hits)	2.3e-21 (15 hits)	3e-95 (165 hits)	2.3e-190 (368 hits)	2.9e-19 (20 hits)	5.7e-65 (13 hits)	6.8e-41 (267 hits)	1.3e-13 (7 hits)	6.8e-09 (1 hits)	3.4e-29 (84 hits)	8e-116 (130 hits)	1.5e-34 (72 hits)	1.4e-34 (64 hits)	3.1e-144 (581 hits)	9.4e-30 (40 hits)	4.7e-83 (53 hits)	1.5e-18 (26 hits)	6.1e-25 (74 hits)	1.4e-126 (426 hits)
