NCVOG_gene	ARG085	Burma_1F	CCIBt4013	CIRM-AVA-1-Amber	CIRM-AVA-1-Meiospore	CIRM-AVA-1-Orange	California_12	JEL0065	JEL0095	JEL0112	JEL0117	JEL0120	JEL0129	JEL0176	JEL0318	JEL0345	JEL0379	JEL0388	JEL0389	JEL0407	JEL0476	JEL0513	JEL0522	JEL0563	JEL0566	JEL0567	JEL0680	JEL0695	JEL0708	JEL0728	JEL0729	JEL0754	JEL0764	JEL0774	JEL0797	JEL0801	JEL0829	JEL0837	JEL0838	JEL0842	JEL0847	JEL0866	JEL0888	JEL0916	JEL0917	KLL_TL_06062013	PLAUS21	WJD170
NCVOG0013	3.2e-40 (55 hits)	3.5e-25 (14 hits)	4.9e-152 (154 hits)	1.6e-41 (11 hits)	5.7e-42 (7 hits)	3.4e-42 (7 hits)	1.3e-23 (32 hits)	1e-27 (33 hits)	7.6e-13 (16 hits)	1e-30 (16 hits)	1.5e-101 (143 hits)		1e-30 (14 hits)	7e-41 (49 hits)	2.5e-33 (23 hits)	1.4e-41 (46 hits)	6.7e-42 (20 hits)	6.6e-48 (39 hits)	7.7e-51 (21 hits)	2.7e-136 (106 hits)	1.1e-14 (5 hits)	5.3e-65 (71 hits)	8.5e-15 (5 hits)	2.3e-41 (14 hits)	6.2e-38 (17 hits)	5e-52 (21 hits)	1.7e-65 (45 hits)	7.6e-75 (120 hits)	1.3e-35 (16 hits)	1.1e-113 (66 hits)	3.9e-58 (53 hits)	4.4e-62 (27 hits)	2.8e-100 (55 hits)	6.1e-176 (168 hits)	8.3e-43 (26 hits)	3.6e-24 (20 hits)	1.4e-92 (43 hits)		1.5e-94 (59 hits)	1.3e-37 (22 hits)	1.1e-82 (79 hits)	1.4e-112 (86 hits)	2.9e-52 (30 hits)	1.6e-64 (20 hits)	1.4e-92 (116 hits)	1.2e-74 (26 hits)	1e-99 (61 hits)	2.8e-73 (71 hits)
NCVOG0014	2.7e-28 (45 hits)	1.2e-17 (5 hits)	2.6e-91 (115 hits)	1.2e-24 (2 hits)	4e-25 (2 hits)	2.4e-25 (2 hits)	1.3e-24 (16 hits)	2.7e-20 (22 hits)		1.7e-24 (7 hits)	9.9e-38 (63 hits)		1.7e-24 (7 hits)	4.9e-29 (37 hits)	1.1e-25 (14 hits)	2.4e-29 (39 hits)	3.3e-36 (8 hits)	2.8e-36 (32 hits)	5.8e-37 (8 hits)	2.9e-88 (59 hits)	6.3e-12 (1 hits)	7.2e-38 (45 hits)	5.1e-12 (1 hits)	1.2e-33 (8 hits)	5.2e-37 (8 hits)	1.1e-36 (8 hits)	1.9e-50 (44 hits)	2.9e-42 (90 hits)	3.7e-20 (12 hits)	1.3e-83 (42 hits)	4.6e-41 (47 hits)	1.2e-49 (22 hits)	9.4e-51 (37 hits)	5e-122 (134 hits)	1.2e-27 (17 hits)	2.7e-18 (17 hits)	1.4e-50 (33 hits)		2.7e-69 (39 hits)	1.2e-20 (13 hits)	1.8e-56 (51 hits)	5.6e-70 (54 hits)	6.7e-42 (20 hits)	1.1e-38 (20 hits)	1.1e-64 (56 hits)	1.5e-51 (25 hits)	1.4e-63 (44 hits)	5.5e-39 (52 hits)
NCVOG0015	6e-56 (74 hits)	9.4e-27 (14 hits)	2.1e-199 (195 hits)	7.2e-38 (11 hits)	2.5e-38 (7 hits)	1.5e-38 (7 hits)	2.5e-26 (36 hits)	3.4e-32 (50 hits)	2.8e-14 (10 hits)	2.6e-36 (24 hits)	6.8e-129 (163 hits)		2.7e-36 (26 hits)	4.9e-66 (65 hits)	6.6e-40 (24 hits)	7.1e-52 (60 hits)	1.9e-54 (16 hits)	8e-55 (53 hits)	8.4e-53 (18 hits)	3.7e-183 (126 hits)	1.3e-23 (14 hits)	1e-84 (73 hits)	1.1e-23 (14 hits)	1.7e-54 (16 hits)	7.8e-52 (17 hits)	1e-52 (19 hits)	1.7e-89 (64 hits)	1.3e-87 (149 hits)	8.4e-38 (17 hits)	3.1e-125 (79 hits)	2.9e-75 (63 hits)	5.1e-75 (29 hits)	2.7e-88 (67 hits)	5.9e-204 (185 hits)	4.1e-70 (32 hits)	8.5e-30 (32 hits)	6.2e-136 (57 hits)		2.7e-113 (68 hits)	2.3e-54 (26 hits)	2.9e-105 (99 hits)	6.4e-124 (98 hits)	4.2e-46 (35 hits)	1e-91 (21 hits)	4.7e-114 (130 hits)	1.6e-77 (45 hits)	4.7e-102 (72 hits)	1.4e-126 (91 hits)
NCVOG0017	2.3e-15 (2 hits)	4.6e-44 (1 hits)	1.7e-20 (2 hits)	3.9e-11 (1 hits)	1.4e-11 (1 hits)		8.9e-32 (1 hits)	6.4e-11 (1 hits)	1.1e-13 (3 hits)	1.7e-15 (1 hits)			1.8e-15 (1 hits)	1.2e-12 (2 hits)	1.1e-12 (2 hits)		3.7e-26 (3 hits)		4.1e-26 (1 hits)	2.8e-14 (3 hits)	4.9e-20 (1 hits)		4e-20 (1 hits)	2.6e-16 (1 hits)	1.9e-15 (1 hits)	8.7e-26 (2 hits)		3.5e-53 (4 hits)	2.1e-13 (1 hits)		1.3e-09 (1 hits)	2.2e-13 (3 hits)	7.9e-22 (1 hits)			1.7e-17 (4 hits)					2e-30 (1 hits)	2.5e-22 (3 hits)	1.1e-21 (2 hits)	8.3e-12 (1 hits)		7e-11 (1 hits)	1.1e-13 (2 hits)	
NCVOG0020			7.2e-101 (6 hits)	3.3e-90 (5 hits)																4.6e-53 (2 hits)											1.2e-64 (4 hits)	1.2e-36 (1 hits)								2.3e-79 (3 hits)				6.9e-34 (2 hits)				
NCVOG0021				1.8e-14 (2 hits)	7.4e-28 (2 hits)	4.9e-27 (3 hits)		4.1e-15 (9 hits)						3.9e-15 (1 hits)			8.3e-10 (2 hits)														7.8e-147 (13 hits)								1.5e-11 (1 hits)					5.1e-12 (2 hits)	2.1e-09 (1 hits)			
NCVOG0022		1.5e-136 (2 hits)					3e-136 (7 hits)	7.2e-77 (3 hits)								1.8e-136 (2 hits)																	1.6e-47 (2 hits)	5.6e-65 (5 hits)	2.1e-34 (1 hits)									4.5e-94 (13 hits)				
NCVOG0023		3.3e-96 (3 hits)	6.7e-10 (1 hits)	3.6e-18 (3 hits)	3.8e-20 (1 hits)	7.1e-20 (1 hits)	1.1e-94 (16 hits)	8.8e-45 (11 hits)	4e-80 (27 hits)	5.8e-65 (1 hits)	1.7e-74 (5 hits)		1e-67 (1 hits)	3.1e-51 (4 hits)	4.3e-80 (46 hits)	1.4e-78 (70 hits)	3.1e-78 (4 hits)		5.6e-80 (8 hits)		4.6e-57 (8 hits)	1.5e-52 (17 hits)	2e-52 (5 hits)	1e-80 (6 hits)	2.3e-48 (8 hits)	5.9e-79 (8 hits)			6.5e-74 (5 hits)			1.3e-21 (2 hits)	5e-86 (35 hits)	2e-79 (36 hits)	3.8e-72 (5 hits)		2.1e-76 (1 hits)		1.5e-53 (4 hits)		1.1e-73 (7 hits)	1e-73 (9 hits)		8.6e-104 (224 hits)	9e-84 (3 hits)	2.2e-09 (1 hits)	4.7e-17 (1 hits)	1.8e-74 (73 hits)
NCVOG0024		1.7e-28 (1 hits)					3.4e-33 (21 hits)		5.4e-89 (23 hits)		2.4e-11 (1 hits)				3.7e-40 (13 hits)		1.4e-15 (2 hits)		2.1e-65 (6 hits)			5.1e-38 (4 hits)	2e-10 (1 hits)	4.4e-61 (3 hits)	3.2e-21 (2 hits)	3.4e-27 (2 hits)	1.6e-15 (3 hits)		4.8e-10 (1 hits)	1.2e-11 (1 hits)			1.4e-43 (5 hits)				5.2e-10 (2 hits)		2.2e-46 (5 hits)		4e-12 (1 hits)			5.2e-26 (6 hits)				5.5e-74 (48 hits)
NCVOG0025	1.2e-27 (50 hits)	1.5e-60 (52 hits)	3.2e-76 (56 hits)	2.6e-61 (117 hits)	9.1e-62 (47 hits)	5.5e-62 (53 hits)	8.5e-60 (83 hits)	2.8e-35 (52 hits)	5.6e-43 (61 hits)	7.6e-36 (41 hits)	1.7e-30 (52 hits)		7.9e-36 (43 hits)	7.2e-28 (53 hits)	2.7e-60 (32 hits)	3.6e-28 (47 hits)	3.7e-44 (54 hits)	1.8e-38 (41 hits)	2.5e-44 (56 hits)	8.5e-63 (59 hits)	1.5e-32 (26 hits)	3.3e-37 (47 hits)	1.2e-32 (25 hits)	3.4e-44 (51 hits)	3.8e-44 (52 hits)	1.4e-44 (62 hits)	7e-43 (34 hits)	2.3e-45 (102 hits)	1.9e-45 (55 hits)	5.6e-47 (68 hits)	5.5e-53 (53 hits)	2.7e-39 (42 hits)	4.3e-30 (39 hits)	1.8e-34 (26 hits)	1e-37 (51 hits)	2.3e-36 (48 hits)	7e-44 (35 hits)		1.9e-47 (57 hits)	2.2e-33 (44 hits)	3.1e-47 (51 hits)	3e-47 (48 hits)	3.9e-75 (49 hits)	9.6e-43 (36 hits)	3.2e-38 (34 hits)	3.9e-38 (45 hits)	4.1e-33 (54 hits)	6.3e-37 (40 hits)
